price_per_month,county,space_type,months_since_listed,min_size_sqft,years_since_built
3676.25,Weber County,Office,20,2941,44.0
9905.84,Utah County,Office,0,7448,64.0
7290.25,Utah County,Retail,2,2651,34.0
1336.2,Utah County,Office,1,1020,22.0
4656.349999999999,Utah County,Office,1,4049,36.0
1897.28,Utah County,Industrial,1,1232,30.0
11200.000000000002,Utah County,Office,3,10000,36.0
10327.45,Utah County,Office,3,7765,32.0
5373.200000000001,Utah County,Office,4,4040,23.0
7600.0,Utah County,Industrial,5,7600,25.0
12210.0,Utah County,Office,5,8250,26.0
6326.31,Utah County,Office,9,3457,26.0
6328.0,Summit County,Office,0,1582,58.0
18498.12,Summit County,Office,0,4436,58.0
5984.01,Summit County,Retail,1,1797,31.0
2681.25,Summit County,Office/Retail,1,715,23.0
3341.25,Summit County,Office/Retail,1,891,23.0
3802.5,Summit County,Office/Retail,1,1014,23.0
3802.5,Summit County,Office/Retail,1,1014,23.0
5328.75,Summit County,Office/Retail,1,1421,23.0
3517.44,Summit County,Office,1,1832,39.0
7689.0,Summit County,Flex,2,3300,3.0
8388.0,Summit County,Flex,2,3600,5.0
11417.56,Summit County,Flex,0,4718,7.0
5181.22,Summit County,Office,0,2141,7.0
5626.5,Summit County,Office,0,2325,7.0
2198.0,Summit County,Office,4,700,5.0
14520.0,Summit County,Office,0,6000,19.0
7644.0,Summit County,Retail,5,2100,30.0
3270.54,Summit County,Office/Retail,5,1198,30.0
16182.0,Summit County,Retail,5,2900,126.0
5625.0,Summit County,Office,6,1500,99.0
2082.5,Summit County,Office,6,245,5.0
1360.0,Summit County,Office,6,160,5.0
4008.0,Summit County,Flex,4,2400,15.0
3340.0,Summit County,Flex,4,2000,15.0
3000.0,Summit County,Medical,0,1000,24.0
1548.0,Summit County,Office,0,516,24.0
38658.93,Summit County,Flex,8,14479,-1.0
31137.54,Summit County,Flex,8,11662,-1.0
6932.0,Summit County,Office,1,1733,29.0
15040.72,Summit County,Office,1,3284,29.0
11486.64,Summit County,Office,1,2508,29.0
3731.0,Summit County,Office,1,1066,29.0
5984.01,Summit County,Office,1,1797,29.0
7765.56,Summit County,Office,1,2332,29.0
4674.92,Summit County,Office,1,1601,29.0
7140.0,Utah County,Office/Medical,1,3000,-2.0
5950.0,Utah County,Office/Medical,1,2500,-2.0
5950.0,Utah County,Office/Medical,1,2500,-2.0
280613.89999999997,Utah County,Industrial,6,330134,-2.0
12165.0,Utah County,Retail,9,8110,0.0
7718.75,Utah County,Industrial,0,8125,6.0
3283.0,Utah County,Office,1,1876,16.0
3404.0,Utah County,Office,2,1702,5.0
15831.75,Utah County,Office,3,5757,1.0
14690.5,Utah County,Office,3,5342,1.0
15559.5,Utah County,Office,3,5658,1.0
18887.0,Utah County,Office,3,6868,1.0
46543.75,Utah County,Office,3,16925,1.0
80465.0,Utah County,Office,3,29260,1.0
80465.0,Utah County,Office,3,29260,1.0
8610.0,Utah County,Office,1,3500,5.0
18651.72,Utah County,Office,1,7582,5.0
19040.0,Utah County,Office,17,8000,3.0
7927.959999999999,Utah County,Office,6,4217,4.0
5194.44,Utah County,Office,6,2763,8.0
13013.359999999999,Utah County,Office,6,6922,8.0
1437.0,Utah County,Office,2,479,5.0
2880.0,Utah County,Office,2,960,5.0
2601.0,Utah County,Office,2,867,5.0
4310.84,Utah County,Office,6,2293,4.0
3985.6,Utah County,Office,6,2120,4.0
5042.16,Utah County,Office,6,2682,4.0
17074.86,Utah County,Office,6,6941,3.0
26408.1,Utah County,Office,6,10735,3.0
3198.0,Utah County,Office,10,1066,1.0
2838.0,Utah County,Office,10,946,1.0
4260.0,Utah County,Office,10,1420,1.0
8580.0,Utah County,Office,10,2860,1.0
40108.200000000004,Utah County,Office,2,19470,5.0
15909.380000000001,Utah County,Office,2,7723,5.0
3714.75,Utah County,Office,7,1651,0.0
5220.320000000001,Utah County,Industrial,8,3304,0.0
5515.780000000001,Utah County,Industrial,8,3491,0.0
5515.780000000001,Utah County,Industrial,8,3491,0.0
